Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  2.215444e-02   8.205662e+00   2.574158e-02
  2.222550e-02   8.024332e+00   2.543490e-02
  2.229657e-02   7.956374e+00   2.533368e-02
  2.236763e-02   7.761990e+00   2.490797e-02
  2.243869e-02   7.671133e+00   2.433893e-02
  2.250975e-02   7.555276e+00   2.388169e-02
  2.258082e-02   7.410029e+00   2.341128e-02
  2.265188e-02   7.352617e+00   2.314229e-02
  2.272294e-02   7.179936e+00   2.276148e-02
  2.279400e-02   7.051341e+00   2.245059e-02
  2.286507e-02   6.924279e+00   2.211936e-02
  2.293613e-02   6.823410e+00   2.184877e-02
  2.300719e-02   6.689364e+00   2.154726e-02
  2.307825e-02   6.559560e+00   2.126632e-02
  2.314932e-02   6.436223e+00   2.101155e-02
  2.322038e-02   6.345389e+00   2.081390e-02
  2.329144e-02   6.192161e+00   2.054458e-02
  2.336251e-02   6.090309e+00   2.034416e-02
  2.343357e-02   5.994524e+00   2.013112e-02
  2.350463e-02   5.943217e+00   2.001196e-02
  2.357569e-02   5.798058e+00   1.973072e-02
  2.364676e-02   5.692087e+00   1.952760e-02
  2.371782e-02   5.591724e+00   1.932278e-02
  2.378888e-02   5.476961e+00   1.908279e-02
  2.385994e-02   5.382561e+00   1.889079e-02
  2.393101e-02   5.303713e+00   1.872511e-02
  2.400207e-02   5.218425e+00   1.855048e-02
  2.407313e-02   5.103247e+00   1.829907e-02
  2.414419e-02   5.053726e+00   1.820602e-02
  2.421526e-02   4.958362e+00   1.800963e-02
  2.428632e-02   4.830833e+00   1.772551e-02
  2.435738e-02   4.778627e+00   1.761175e-02
  2.442844e-02   4.672532e+00   1.738941e-02
  2.449951e-02   4.605413e+00   1.724542e-02
  2.457057e-02   4.515706e+00   1.703835e-02
  2.464163e-02   4.448836e+00   1.688795e-02
  2.471269e-02   4.349383e+00   1.668765e-02
  2.478376e-02   4.294963e+00   1.657971e-02
  2.485482e-02   4.204267e+00   1.636345e-02
  2.492588e-02   4.117600e+00   1.615600e-02
  2.499695e-02   4.077370e+00   1.606638e-02
  2.506801e-02   3.982043e+00   1.586923e-02
  2.513907e-02   3.925443e+00   1.572716e-02
  2.521013e-02   3.831495e+00   1.550233e-02
  2.528120e-02   3.774574e+00   1.538297e-02
  2.535226e-02   3.694786e+00   1.521021e-02
  2.542332e-02   3.652358e+00   1.510262e-02
  2.549438e-02   3.573074e+00   1.489687e-02
  2.556545e-02   3.521311e+00   1.479242e-02
  2.563651e-02   3.446241e+00   1.461121e-02
  2.570757e-02   3.387676e+00   1.445832e-02
  2.577863e-02   3.336165e+00   1.432464e-02
  2.584970e-02   3.265840e+00   1.416480e-02
  2.592076e-02   3.214997e+00   1.405610e-02
  2.599182e-02   3.155022e+00   1.387627e-02
  2.606288e-02   3.091930e+00   1.372824e-02
  2.613395e-02   3.053599e+00   1.365868e-02
  2.620501e-02   3.003030e+00   1.352911e-02
  2.627607e-02   2.946723e+00   1.338318e-02
  2.634713e-02   2.901814e+00   1.324249e-02
  2.641820e-02   2.841041e+00   1.310397e-02
  2.648926e-02   2.778783e+00   1.294494e-02
  2.656032e-02   2.721757e+00   1.278637e-02
  2.663139e-02   2.685657e+00   1.266114e-02
  2.670245e-02   2.657332e+00   1.260696e-02
  2.677351e-02   2.603518e+00   1.246096e-02
  2.684457e-02   2.545843e+00   1.228375e-02
  2.691564e-02   2.504318e+00   1.223127e-02
  2.698670e-02   2.485512e+00   1.239332e-02
  2.705776e-02   2.419011e+00   1.232341e-02
  2.712882e-02   2.381540e+00   1.230931e-02
  2.719989e-02   2.341959e+00   1.225778e-02
  2.727095e-02   2.299243e+00   1.217194e-02
  2.734201e-02   2.273066e+00   1.195459e-02
  2.741307e-02   2.217546e+00   1.164795e-02
  2.748414e-02   2.208698e+00   1.159449e-02
  2.755520e-02   2.166249e+00   1.143317e-02
  2.762626e-02   2.121687e+00   1.130216e-02
  2.769732e-02   2.077179e+00   1.118290e-02
  2.776839e-02   2.055200e+00   1.113238e-02
  2.783945e-02   2.002989e+00   1.097058e-02
  2.791051e-02   1.949148e+00   1.079802e-02
  2.798158e-02   1.932275e+00   1.073815e-02
  2.805264e-02   1.908427e+00   1.062766e-02
  2.812370e-02   1.868791e+00   1.054640e-02
  2.819476e-02   1.864425e+00   1.049459e-02
  2.826583e-02   1.833615e+00   1.037597e-02
  2.833689e-02   1.779001e+00   1.022345e-02
  2.840795e-02   1.760682e+00   1.016453e-02
  2.847901e-02   1.715278e+00   1.002758e-02
  2.855008e-02   1.702940e+00   9.970632e-03
  2.862114e-02   1.694356e+00   9.924172e-03
